City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,nicoya,10.1483,-85.452,32.19,46,13,3.7,CR,1738272738
304,hengchun,22.0042,120.7439,18.43,77,99,9.04,TW,1738272739
305,nagqu,31.5,92.0,-12.67,32,0,0.68,CN,1738272740
306,swakopmund,-22.6833,14.5333,18.52,82,28,7.16,NA,1738272668
307,peace river,56.2501,-117.286,-13.83,78,100,6.17,CA,1738272743
308,kidal,18.4411,1.4078,21.31,15,28,3.69,ML,1738272744
309,alpena,45.0617,-83.4327,2.62,71,0,3.09,US,1738272745
310,taikang,46.8333,124.4167,-22.32,89,59,2.56,CN,1738272746
311,kailua-kona,19.6406,-155.9956,30.86,67,0,12.35,US,1738272747
312,dobryanka,58.4619,56.4165,-3.3,97,100,2.49,RU,1738272749
313,sovetsk,55.0839,21.8785,5.83,83,100,2.98,RU,1738272750
314,papao,-17.75,-149.55,29.82,75,13,8.27,PF,1738272751
315,pacific grove,36.6177,-121.9166,11.71,82,100,2.57,US,1738272720
316,panazol,45.8333,1.3,5.74,81,100,4.63,FR,1738272754
317,kayangel,8.0823,134.7173,28.41,79,100,10.58,PW,1738272755
318,kolonia town,6.964,158.206,28.06,78,100,6.69,FM,1738272756
319,wesley,15.5667,-61.3167,25.74,75,37,5.25,DM,1738272759
320,luoyang,34.6836,112.4536,-0.27,70,100,2.04,CN,1738272603
321,lichinga,-13.3128,35.2406,16.72,95,100,1.29,MZ,1738272761
322,kavalerovo,44.2661,135.0572,-16.86,89,41,3.15,RU,1738272762
323,desaguadero,-16.5656,-69.0417,13.24,55,44,7.09,PE,1738272764
324,isangel,-19.55,169.2667,29.06,79,40,1.03,VU,1738272765
325,whistler,50.1164,-122.9695,0.57,93,100,2.57,CA,1738272766
326,kodinsk,58.6881,99.1844,-35.36,100,32,1.25,RU,1738272767
327,kochenevo,55.0218,82.202,-13.34,96,99,2.99,RU,1738272769
328,palapag,12.5458,125.1147,25.37,86,66,4.9,PH,1738272770
329,las khorey,11.1595,48.1967,22.65,62,17,2.37,SO,1738272771
330,badger,64.8,-147.5333,-27.79,75,40,1.54,US,1738272772
331,mount gambier,-37.8333,140.7667,13.15,83,81,0.81,AU,1738272398
332,kismayo,-0.3582,42.5454,24.62,83,45,5.49,SO,1738272775
333,pingliang,35.5392,106.6861,-3.12,71,100,2.51,CN,1738272776
334,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,7.2,EC,1738272777
335,tateyama,34.9833,139.8667,5.36,50,36,3.27,JP,1738272779
336,el maamoura,36.465,10.8061,14.07,65,100,5.24,TN,1738272780
337,cill airne,52.05,-9.5167,8.38,98,100,2.67,IE,1738272781
338,hobyo,5.3505,48.5268,23.97,81,10,7.83,SO,1738272782
339,caconda,-13.7333,15.0667,16.63,92,100,2.79,AO,1738272784
340,alamar,23.1583,-82.2769,31.13,63,39,8.88,CU,1738272785
341,mogok,22.9167,96.5,10.52,35,61,0.96,MM,1738272786
342,kabo,7.6994,18.629,23.05,16,57,2.48,CF,1738272787
